order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
95,1,60,Chicken Biryani,2025-09-10,20:48:27,Delivered,799.81
96,370,33,Paneer Tikka,2025-03-04,23:47:43,Delivered,960.51
97,599,66,Veg Burger,2025-02-19,05:02:46,Delivered,275.52
98,870,58,Chicken Roll,2025-03-12,05:01:36,Delivered,159.07
99,713,1,Pasta Alfredo,2025-01-07,23:09:12,Cancelled,912.78
100,104,99,Pasta Alfredo,2025-05-28,14:48:09,Delivered,237.46
101,979,35,Veg Burger,2025-05-02,13:30:50,Pending,707.55
102,86,37,Veg Burger,2024-09-11,06:48:14,Delivered,612.53
103,965,75,Fried Rice,2024-06-19,12:57:15,Pending,585.27
104,617,55,Fried Rice,2025-02-04,09:39:00,Cancelled,149.37
105,346,19,Veg Burger,2024-09-16,21:27:47,Pending,355.48
106,770,5,Veg Thali,2024-07-24,20:13:22,Delivered,622.18
107,814,35,Butter Naan,2023-10-30,03:44:21,Cancelled,111.12
108,858,17,Paneer Tikka,2023-09-23,10:59:23,Delivered,237.29
109,6,82,Fried Rice,2024-02-10,23:01:36,Pending,746.83
110,572,58,Veg Burger,2025-01-06,21:34:19,Delivered,850.68
111,563,33,Butter Naan,2025-05-30,08:29:01,Delivered,295.46
112,779,71,Paneer Tikka,2025-06-25,20:17:47,Pending,127.35
113,117,69,Veg Thali,2024-12-21,02:52:40,Pending,490.55
114,744,66,Chicken Roll,2024-11-10,12:26:35,Cancelled,498.02
115,822,57,Idli Sambhar,2023-11-23,02:27:39,Pending,235.09
116,632,70,Chicken Biryani,2024-08-18,18:02:22,Cancelled,439.47
117,217,38,Veg Thali,2025-01-14,00:23:36,Cancelled,189.11
118,422,65,Idli Sambhar,2025-09-06,22:55:07,Pending,156.43
119,369,45,Chicken Biryani,2024-04-06,01:17:56,Pending,786.33
120,322,89,Veg Thali,2025-06-03,20:25:57,Pending,782.5
121,295,47,Pasta Alfredo,2023-10-06,08:15:17,Delivered,853.19
122,208,32,Paneer Tikka,2024-06-25,00:14:07,Pending,577.0
123,264,50,Chicken Biryani,2024-01-31,11:32:51,Pending,624.3
124,312,74,Chicken Roll,2025-07-05,07:11:37,Pending,630.59
125,779,60,Chicken Roll,2024-07-17,01:48:30,Cancelled,497.12
126,557,36,Cheese Pizza,2024-06-12,08:23:33,Cancelled,582.42
127,365,13,Fried Rice,2025-02-22,13:20:39,Pending,698.88
128,509,32,Cheese Pizza,2024-04-16,10:41:02,Delivered,575.95
129,61,69,Veg Thali,2025-07-22,07:40:53,Delivered,235.08
130,296,12,Pasta Alfredo,2024-07-11,04:39:47,Pending,847.51
131,654,58,Pasta Alfredo,2024-08-15,22:03:30,Cancelled,430.24
132,725,75,Paneer Tikka,2024-01-07,19:56:57,Pending,478.5
133,694,66,Idli Sambhar,2025-04-12,00:13:08,Cancelled,954.41
134,122,4,Pasta Alfredo,2025-08-13,07:28:11,Pending,199.83
135,871,25,Mutton Curry,2024-05-11,15:18:09,Delivered,602.77
136,319,37,Chicken Roll,2025-09-01,05:02:53,Pending,710.81
137,424,69,Veg Burger,2024-07-31,07:06:04,Pending,474.46
138,603,56,Dosa,2024-07-06,01:52:49,Cancelled,874.67
139,849,29,Idli Sambhar,2024-06-17,19:11:49,Delivered,115.34
140,369,72,Pasta Alfredo,2024-01-05,12:43:49,Pending,127.75
141,233,68,Mutton Curry,2025-06-06,01:25:55,Delivered,304.64
142,561,29,Cheese Pizza,2024-06-01,06:52:14,Pending,189.04
143,714,56,Chicken Roll,2024-11-20,01:28:53,Delivered,277.94
144,151,84,Chicken Roll,2024-07-13,01:54:38,Delivered,946.15
145,594,66,Pasta Alfredo,2024-03-18,08:20:23,Delivered,966.67
146,836,63,Butter Naan,2024-08-27,12:22:53,Cancelled,233.03
147,660,88,Cheese Pizza,2025-04-28,03:37:18,Cancelled,888.42
148,273,48,Pasta Alfredo,2025-07-23,21:00:20,Cancelled,336.83
149,440,88,Chicken Biryani,2025-07-06,09:01:21,Cancelled,412.18
150,712,93,Idli Sambhar,2024-04-03,08:49:20,Pending,753.46
151,479,37,Veg Burger,2024-11-18,23:27:39,Pending,716.31
152,873,52,Dosa,2024-04-17,19:37:50,Delivered,245.18
153,331,33,Veg Burger,2025-03-06,21:36:40,Delivered,723.85
154,42,68,Idli Sambhar,2024-08-08,20:48:15,Delivered,277.1
155,697,50,Fried Rice,2024-08-21,16:05:58,Pending,866.63
156,223,95,Cheese Pizza,2025-01-19,01:53:13,Cancelled,511.4
157,407,41,Pasta Alfredo,2024-12-24,22:55:05,Cancelled,128.37
158,206,59,Fried Rice,2023-11-27,12:52:12,Pending,474.08
159,575,26,Butter Naan,2025-02-05,10:58:58,Delivered,303.21
160,703,65,Veg Burger,2025-08-28,23:50:05,Delivered,118.62
161,918,82,Chicken Biryani,2025-06-12,05:44:29,Cancelled,220.71
162,629,64,Fried Rice,2024-03-26,16:15:10,Cancelled,129.68
163,215,82,Chicken Roll,2024-11-10,09:47:51,Delivered,415.72
164,306,52,Veg Thali,2024-08-26,18:29:20,Cancelled,284.96
165,636,83,Fried Rice,2025-02-08,22:51:35,Cancelled,676.91
166,138,49,Cheese Pizza,2025-06-20,19:30:25,Cancelled,583.9
167,135,89,Chicken Roll,2024-03-26,12:22:08,Pending,286.95
168,904,57,Veg Thali,2025-06-04,06:18:08,Delivered,243.35
169,894,31,Chicken Biryani,2023-10-02,12:23:45,Cancelled,617.33
170,930,59,Veg Thali,2025-05-31,06:52:52,Delivered,923.06
171,634,56,Chicken Biryani,2025-08-25,06:07:38,Delivered,365.4
172,591,46,Dosa,2024-04-02,05:14:16,Cancelled,864.87
173,284,43,Cheese Pizza,2025-06-27,14:11:16,Delivered,134.54
174,749,24,Pasta Alfredo,2024-02-01,19:30:46,Cancelled,917.57
175,342,13,Chicken Roll,2023-10-03,13:41:55,Cancelled,260.23
176,470,26,Veg Thali,2024-03-12,20:05:29,Cancelled,984.45
177,992,25,Chicken Roll,2025-05-11,00:36:30,Pending,532.58
178,688,100,Butter Naan,2024-02-11,00:06:45,Pending,603.26
179,591,25,Pasta Alfredo,2025-06-18,23:58:13,Delivered,405.67
180,801,96,Mutton Curry,2025-01-10,20:12:17,Cancelled,462.21
181,661,8,Fried Rice,2025-06-04,02:01:04,Cancelled,735.8
182,680,85,Dosa,2024-01-24,11:38:04,Pending,166.1
183,916,44,Cheese Pizza,2024-07-02,11:57:26,Delivered,360.41
184,489,89,Mutton Curry,2025-06-25,12:20:35,Delivered,291.49
185,46,74,Chicken Roll,2025-01-22,21:28:55,Pending,598.19
186,991,38,Veg Thali,2024-11-23,10:15:04,Delivered,502.47
187,926,26,Veg Burger,2023-10-22,11:11:45,Delivered,328.68
188,377,5,Idli Sambhar,2024-09-29,20:43:02,Delivered,133.16
189,998,84,Dosa,2023-12-19,11:48:39,Pending,769.18
190,635,58,Dosa,2023-11-01,08:00:33,Pending,200.65
191,698,1,Pasta Alfredo,2025-06-24,08:14:23,Cancelled,458.72
192,67,90,Veg Burger,2024-10-10,22:23:43,Cancelled,444.67
193,37,31,Paneer Tikka,2025-09-01,08:47:21,Delivered,676.27
194,107,89,Veg Burger,2024-02-27,16:30:49,Cancelled,456.7
195,136,37,Dosa,2025-08-10,23:35:08,Pending,428.88
196,909,29,Chicken Biryani,2024-04-12,19:16:36,Delivered,891.74
197,440,12,Paneer Tikka,2023-12-27,01:28:20,Delivered,324.08
198,816,25,Veg Thali,2023-10-29,02:56:39,Cancelled,407.01
199,397,63,Chicken Biryani,2024-11-22,23:31:22,Pending,538.32
200,177,98,Chicken Roll,2024-06-07,14:51:54,Cancelled,692.32
201,184,74,Cheese Pizza,2024-06-25,16:49:40,Delivered,774.41
202,624,45,Fried Rice,2024-01-31,15:48:31,Cancelled,881.23
203,707,85,Chicken Biryani,2023-12-18,18:10:32,Delivered,959.56
204,509,42,Paneer Tikka,2024-10-12,02:18:07,Cancelled,405.86
205,544,48,Paneer Tikka,2025-07-20,08:38:58,Cancelled,278.5
206,70,72,Idli Sambhar,2025-07-17,19:31:38,Delivered,154.52
207,649,63,Cheese Pizza,2025-07-17,15:24:57,Pending,105.96
208,478,43,Paneer Tikka,2024-01-21,16:02:17,Pending,442.86
209,712,57,Chicken Roll,2024-12-27,17:31:09,Delivered,898.44
210,332,46,Dosa,2025-08-02,15:32:42,Cancelled,912.25
211,236,70,Butter Naan,2025-02-18,05:00:00,Cancelled,975.74
212,321,14,Chicken Roll,2025-04-13,00:11:34,Pending,953.08
213,821,26,Veg Burger,2025-01-17,10:55:41,Delivered,763.31
214,784,80,Pasta Alfredo,2025-06-12,01:47:29,Delivered,122.9
215,446,71,Paneer Tikka,2024-01-25,11:29:28,Cancelled,165.73
216,533,42,Veg Burger,2024-11-07,19:36:34,Cancelled,654.51
217,128,98,Veg Thali,2025-07-16,21:00:12,Cancelled,653.44
218,122,60,Veg Burger,2023-11-03,10:41:53,Pending,119.5
219,950,15,Chicken Roll,2023-10-26,21:48:44,Delivered,535.11
220,351,58,Mutton Curry,2023-10-30,04:34:56,Pending,191.35
221,906,89,Idli Sambhar,2024-05-30,03:09:06,Cancelled,647.16
222,569,26,Idli Sambhar,2025-09-08,22:30:59,Cancelled,403.48
223,415,15,Pasta Alfredo,2025-05-25,18:49:04,Cancelled,306.87
224,428,54,Veg Burger,2024-07-05,21:58:27,Cancelled,747.72
225,848,92,Fried Rice,2024-08-20,19:20:21,Delivered,165.1
226,211,83,Mutton Curry,2023-12-31,11:28:29,Pending,813.3
227,846,61,Idli Sambhar,2025-04-21,15:06:15,Cancelled,524.63
228,391,12,Veg Burger,2025-06-27,17:08:37,Delivered,512.43
229,946,86,Dosa,2024-11-29,03:28:25,Delivered,950.59
230,70,30,Chicken Roll,2024-08-25,07:09:20,Pending,605.3
231,990,85,Butter Naan,2025-01-04,08:07:26,Cancelled,552.8
232,832,31,Fried Rice,2024-03-25,14:17:39,Delivered,679.74
233,535,4,Chicken Roll,2025-09-05,11:29:43,Pending,664.21
234,100,23,Pasta Alfredo,2024-04-25,22:59:56,Cancelled,232.67
235,873,9,Dosa,2024-07-18,11:57:21,Cancelled,576.47
236,403,70,Veg Burger,2024-01-20,13:48:33,Cancelled,467.7
237,613,66,Dosa,2024-10-15,09:17:27,Pending,277.16
238,206,79,Chicken Biryani,2025-06-21,22:30:26,Delivered,407.88
239,489,42,Chicken Roll,2025-03-28,08:44:52,Pending,857.38
240,431,88,Butter Naan,2024-02-16,07:08:06,Pending,709.94
241,791,35,Chicken Roll,2025-08-14,20:35:31,Cancelled,306.54
242,611,93,Dosa,2025-04-04,18:26:46,Pending,145.41
243,285,64,Veg Burger,2024-10-13,00:47:22,Pending,919.19
244,260,82,Idli Sambhar,2024-10-09,15:58:15,Cancelled,795.41
245,244,54,Mutton Curry,2024-10-09,18:39:34,Cancelled,519.2
246,742,85,Fried Rice,2025-06-06,03:08:42,Cancelled,275.23
247,800,93,Cheese Pizza,2025-04-13,12:04:49,Delivered,688.51
248,998,45,Veg Burger,2025-03-07,18:21:06,Pending,734.52
249,92,61,Pasta Alfredo,2024-10-31,02:33:05,Cancelled,200.21
250,651,46,Cheese Pizza,2024-02-09,12:40:40,Pending,480.02
251,31,44,Chicken Biryani,2024-03-15,11:47:03,Cancelled,513.45
252,681,58,Chicken Biryani,2024-10-14,17:27:24,Cancelled,999.14
253,551,36,Idli Sambhar,2025-04-26,10:32:55,Delivered,907.84
254,883,83,Idli Sambhar,2023-10-04,12:28:15,Cancelled,688.07
255,720,2,Idli Sambhar,2025-02-02,16:47:37,Delivered,189.2
256,545,92,Mutton Curry,2025-08-31,01:37:24,Pending,876.85
257,868,61,Cheese Pizza,2024-09-01,14:00:12,Pending,290.4
258,830,78,Veg Burger,2025-04-23,07:53:18,Pending,779.96
259,828,84,Chicken Roll,2023-11-21,04:35:58,Delivered,571.03
260,65,30,Dosa,2024-06-01,00:46:05,Cancelled,745.69
261,935,9,Pasta Alfredo,2024-12-29,21:35:50,Pending,986.73
262,674,59,Idli Sambhar,2025-07-28,13:43:45,Pending,906.09
263,150,76,Chicken Biryani,2023-10-20,11:32:44,Cancelled,691.08
264,20,34,Idli Sambhar,2023-12-21,05:49:22,Pending,221.26
265,229,56,Idli Sambhar,2024-08-09,10:22:07,Delivered,120.97
266,460,53,Dosa,2024-05-08,17:12:24,Delivered,342.29
267,829,77,Fried Rice,2024-11-27,23:23:30,Pending,615.04
268,870,3,Butter Naan,2025-03-14,05:48:13,Cancelled,469.52
269,239,7,Dosa,2024-12-12,22:39:58,Pending,842.28
270,231,45,Veg Burger,2024-10-14,00:45:01,Delivered,296.71
271,634,40,Fried Rice,2024-12-23,08:19:38,Pending,909.27
272,272,39,Cheese Pizza,2025-03-14,11:33:57,Cancelled,214.14
273,634,40,Idli Sambhar,2025-03-09,10:20:45,Pending,305.6
274,660,56,Chicken Roll,2025-09-16,00:18:07,Cancelled,561.19
275,510,47,Pasta Alfredo,2024-10-17,23:20:42,Pending,831.8
276,147,8,Butter Naan,2023-11-24,03:48:05,Cancelled,774.76
277,160,42,Butter Naan,2024-08-29,01:48:10,Delivered,185.08
278,354,2,Idli Sambhar,2024-10-22,17:00:11,Pending,240.63
279,996,28,Veg Burger,2023-10-14,12:09:05,Pending,279.46
280,140,40,Butter Naan,2024-01-22,21:50:26,Pending,434.02
281,549,33,Fried Rice,2025-03-12,10:10:20,Pending,859.21
282,818,9,Mutton Curry,2024-06-21,01:35:35,Cancelled,469.07
283,399,47,Mutton Curry,2024-12-06,11:34:57,Pending,413.13
284,177,69,Paneer Tikka,2025-04-25,09:41:23,Pending,865.84
285,269,86,Butter Naan,2023-12-30,19:15:18,Cancelled,917.27
286,201,44,Veg Burger,2024-03-08,17:01:49,Delivered,888.94
287,24,37,Paneer Tikka,2024-01-28,09:49:22,Cancelled,989.16
288,531,79,Pasta Alfredo,2024-09-27,17:26:07,Delivered,328.95
289,395,96,Dosa,2024-10-31,22:18:18,Cancelled,451.19
290,739,95,Mutton Curry,2024-09-07,19:35:22,Cancelled,776.84
291,368,8,Veg Burger,2025-03-26,23:15:12,Cancelled,429.7
292,447,28,Veg Burger,2024-03-21,08:32:49,Cancelled,791.75
293,233,43,Fried Rice,2023-11-06,21:48:39,Cancelled,591.22
294,4,47,Chicken Roll,2025-04-23,01:04:36,Delivered,147.5
295,534,56,Dosa,2024-11-07,23:40:22,Cancelled,321.39
296,981,65,Chicken Roll,2025-07-26,08:31:01,Pending,305.09
297,701,76,Cheese Pizza,2024-07-15,18:34:23,Cancelled,925.78
298,745,53,Chicken Biryani,2024-12-28,02:30:57,Cancelled,129.0
299,377,18,Chicken Biryani,2025-08-15,19:36:31,Cancelled,454.96
300,886,81,Butter Naan,2025-02-13,22:38:44,Cancelled,563.02
301,388,95,Butter Naan,2025-07-21,20:38:39,Pending,846.82
302,69,42,Dosa,2023-10-13,21:04:27,Delivered,178.72
303,314,100,Paneer Tikka,2024-12-08,04:51:51,Pending,897.4
304,763,33,Chicken Roll,2024-08-08,22:52:50,Pending,512.39
305,215,91,Chicken Roll,2025-03-22,22:19:58,Delivered,630.82
306,86,89,Paneer Tikka,2024-04-17,04:22:15,Pending,936.9
307,179,69,Pasta Alfredo,2025-02-12,13:53:34,Cancelled,603.82
308,834,95,Cheese Pizza,2024-06-07,01:41:15,Cancelled,836.77
309,828,17,Paneer Tikka,2024-04-06,12:24:53,Delivered,848.87
310,674,20,Dosa,2025-06-24,13:10:40,Delivered,132.77
311,906,97,Pasta Alfredo,2024-03-11,09:20:22,Cancelled,406.4
312,816,25,Dosa,2023-10-26,11:33:15,Delivered,445.27
313,324,17,Mutton Curry,2024-02-08,08:31:58,Pending,415.91
314,363,44,Idli Sambhar,2025-08-12,01:58:06,Delivered,116.17
315,239,81,Veg Burger,2024-03-25,09:54:16,Delivered,592.85
316,801,59,Butter Naan,2024-09-22,21:37:56,Cancelled,476.45
317,533,3,Veg Thali,2025-05-10,14:30:45,Cancelled,954.95
318,54,64,Butter Naan,2024-11-29,18:25:27,Pending,703.38
319,786,68,Mutton Curry,2024-04-28,01:55:55,Cancelled,550.97
320,582,54,Veg Burger,2024-08-05,08:18:19,Cancelled,381.84
321,314,91,Chicken Roll,2024-12-01,23:31:00,Delivered,953.85
322,130,96,Butter Naan,2024-08-27,11:37:47,Delivered,980.87
323,96,61,Idli Sambhar,2025-06-22,09:02:57,Delivered,569.7
324,978,47,Butter Naan,2024-10-15,22:24:15,Cancelled,393.64
325,870,98,Paneer Tikka,2025-08-25,16:12:49,Pending,573.29
326,329,38,Butter Naan,2024-06-01,23:09:47,Delivered,460.19
327,740,94,Veg Burger,2025-02-19,15:13:41,Delivered,966.61
328,476,3,Butter Naan,2025-08-03,12:39:00,Delivered,365.02
329,804,89,Mutton Curry,2025-07-28,01:30:47,Delivered,884.71
330,876,37,Paneer Tikka,2025-03-24,16:37:51,Pending,354.89
331,727,41,Paneer Tikka,2025-05-31,17:15:49,Pending,975.14
332,435,40,Paneer Tikka,2024-02-29,13:06:32,Delivered,776.26
333,517,96,Butter Naan,2025-08-11,16:24:11,Pending,804.76
334,686,93,Veg Burger,2024-08-07,04:48:30,Pending,745.88
335,795,20,Cheese Pizza,2024-07-09,01:23:05,Cancelled,506.78
336,498,86,Veg Thali,2025-07-30,02:58:33,Cancelled,936.02
337,47,86,Butter Naan,2025-09-02,13:20:09,Cancelled,365.1
338,853,98,Idli Sambhar,2024-03-07,02:58:08,Delivered,415.09
339,16,64,Paneer Tikka,2023-12-27,05:38:57,Delivered,625.88
340,53,15,Chicken Roll,2023-11-28,12:26:34,Delivered,746.46
341,314,6,Chicken Roll,2025-01-03,11:06:58,Delivered,750.03
342,21,13,Pasta Alfredo,2025-08-10,02:23:48,Pending,795.34
343,590,82,Idli Sambhar,2025-02-10,15:26:23,Cancelled,686.98
344,989,87,Cheese Pizza,2024-11-12,10:11:21,Cancelled,247.78
345,709,10,Cheese Pizza,2025-06-06,12:14:28,Pending,842.46
346,120,82,Fried Rice,2024-04-29,19:52:01,Cancelled,682.8
347,333,56,Dosa,2024-10-10,15:19:47,Delivered,279.61
348,665,66,Fried Rice,2024-11-08,13:40:54,Cancelled,283.73
349,983,74,Cheese Pizza,2023-12-17,18:46:53,Pending,596.39
350,882,8,Dosa,2023-09-28,12:49:13,Pending,268.43
351,253,100,Mutton Curry,2023-11-25,20:44:36,Pending,927.44
352,959,70,Pasta Alfredo,2025-03-31,09:31:31,Pending,986.0
353,140,13,Veg Thali,2024-11-21,11:36:34,Cancelled,567.94
354,395,46,Cheese Pizza,2025-08-26,02:31:52,Cancelled,570.81
355,387,74,Mutton Curry,2024-10-29,04:32:26,Pending,631.54
356,697,42,Cheese Pizza,2024-03-05,16:03:54,Cancelled,754.26
357,737,80,Chicken Roll,2025-05-07,11:05:16,Pending,942.51
358,400,7,Veg Thali,2024-02-17,17:08:05,Delivered,130.26
359,644,66,Butter Naan,2023-11-07,19:37:06,Delivered,313.04
360,780,58,Pasta Alfredo,2025-01-16,00:38:16,Delivered,676.38
361,745,5,Pasta Alfredo,2024-05-16,09:31:11,Cancelled,922.24
362,227,28,Paneer Tikka,2025-02-19,16:54:42,Delivered,330.17
363,608,29,Dosa,2025-06-01,17:05:41,Pending,368.41
364,457,48,Pasta Alfredo,2025-06-28,10:46:06,Delivered,122.58
365,588,73,Butter Naan,2025-09-12,16:22:22,Cancelled,947.26
366,379,18,Chicken Roll,2025-09-05,14:23:09,Cancelled,790.23
367,594,24,Veg Thali,2024-07-19,23:00:27,Pending,789.39
368,531,41,Paneer Tikka,2025-01-13,18:18:52,Cancelled,191.95
369,112,40,Mutton Curry,2024-05-15,12:21:32,Cancelled,421.29
370,418,20,Veg Burger,2025-05-05,03:03:57,Delivered,956.2
371,840,94,Butter Naan,2025-02-20,06:42:11,Delivered,370.57
372,311,6,Butter Naan,2025-08-23,12:41:05,Delivered,990.29
373,534,73,Chicken Roll,2024-07-14,17:35:43,Cancelled,303.17
374,446,87,Mutton Curry,2025-04-27,07:49:38,Delivered,616.19
375,942,85,Veg Burger,2023-11-04,05:41:06,Delivered,766.0
376,504,21,Butter Naan,2025-01-23,12:06:23,Pending,115.37
377,814,49,Idli Sambhar,2024-12-06,17:58:47,Delivered,687.25
378,892,99,Cheese Pizza,2025-05-24,12:18:37,Delivered,299.1
379,934,14,Veg Burger,2024-06-09,20:34:14,Delivered,703.41
380,694,92,Pasta Alfredo,2024-11-13,06:15:44,Pending,901.84
381,685,89,Dosa,2025-01-27,21:41:27,Cancelled,809.92
382,205,44,Veg Thali,2025-08-09,11:09:25,Cancelled,509.04
383,161,10,Pasta Alfredo,2025-05-02,13:21:14,Pending,337.78
384,463,6,Chicken Roll,2024-06-13,02:57:34,Delivered,844.73
385,523,75,Veg Thali,2023-10-31,16:26:59,Delivered,584.16
386,426,16,Veg Thali,2023-10-25,04:14:02,Pending,609.3
387,644,36,Veg Burger,2023-11-19,09:12:51,Delivered,835.87
