restaurant_id,restaurant_name,city,opening_hours
54,"Taylor, Mccarthy and Rice Restaurant",Chennai,11:00-22:00
55,Dickson and Sons Restaurant,Kolkata,9:00-23:00
56,Bautista PLC Restaurant,Delhi,8:00-21:00
57,Atkinson PLC Restaurant,Mumbai,9:00-22:00
58,Johnson and Sons Restaurant,Bangalore,11:00-23:00
59,Wilson-Smith Restaurant,Hyderabad,11:00-23:00
60,"Lutz, Collins and Montgomery Restaurant",Hyderabad,9:00-22:00
61,Hopkins-Chapman Restaurant,Mumbai,9:00-21:00
62,"Taylor, Turner and Mills Restaurant",Kolkata,11:00-22:00
63,Tate-Smith Restaurant,Bangalore,8:00-22:00
64,Williams-Ward Restaurant,Chennai,11:00-23:00
65,"Blackburn, Glenn and Morgan Restaurant",Pune,9:00-23:00
66,"Ford, Pierce and Moreno Restaurant",Hyderabad,8:00-22:00
67,"Guerra, Jordan and Prince Restaurant",Kolkata,8:00-22:00
68,"Adams, Brown and Vance Restaurant",Kolkata,11:00-23:00
69,Collier-Cooper Restaurant,Kolkata,8:00-22:00
70,Harrison-Steele Restaurant,Chennai,11:00-23:00
71,Hubbard LLC Restaurant,Bangalore,10:00-23:00
72,"Bennett, Wheeler and Foster Restaurant",Hyderabad,10:00-23:00
73,"Hensley, May and Wilson Restaurant",Chennai,9:00-23:00
74,"Riddle, Ayala and Bryant Restaurant",Mumbai,9:00-22:00
75,Jackson Inc Restaurant,Kolkata,10:00-21:00
76,Rodriguez PLC Restaurant,Mumbai,10:00-22:00
77,Boyer Inc Restaurant,Chennai,10:00-21:00
78,Turner and Sons Restaurant,Chennai,10:00-23:00
79,"Rogers, Blake and Robinson Restaurant",Pune,10:00-21:00
80,Davis Group Restaurant,Mumbai,11:00-23:00
81,Clark-Smith Restaurant,Hyderabad,10:00-21:00
82,Blake Inc Restaurant,Chennai,10:00-22:00
83,Sanchez Group Restaurant,Hyderabad,9:00-22:00
84,Johnson-Chandler Restaurant,Mumbai,10:00-21:00
85,Castro-Zamora Restaurant,Pune,10:00-23:00
86,Wong-Hartman Restaurant,Mumbai,11:00-23:00
87,"Carrillo, Mcclain and Lee Restaurant",Mumbai,10:00-22:00
88,"Patrick, Brady and Castro Restaurant",Delhi,11:00-23:00
89,Callahan-Wilson Restaurant,Mumbai,8:00-21:00
90,Brown-Fox Restaurant,Mumbai,9:00-21:00
91,Hubbard Inc Restaurant,Delhi,11:00-21:00
92,Thompson-Mays Restaurant,Chennai,11:00-23:00
93,Wyatt-Jones Restaurant,Bangalore,11:00-21:00
94,Zuniga Inc Restaurant,Pune,8:00-21:00
95,"Green, Vargas and Baldwin Restaurant",Hyderabad,11:00-23:00
96,"Harper, Nelson and Carter Restaurant",Hyderabad,11:00-23:00
97,"Foley, Frederick and Parks Restaurant",Delhi,11:00-23:00
98,Armstrong-Gallagher Restaurant,Kolkata,8:00-22:00
99,"Hall, Mathis and Huber Restaurant",Delhi,10:00-23:00
100,Mills-Moore Restaurant,Hyderabad,11:00-21:00
